2025-09-07 18:45:12.622 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-09-07 18:45:13.520 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-09-07 18:45:13.530 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-09-07 18:45:13.532 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-09-07 18:45:13.532 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-09-07 18:45:13.566 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-09-07 18:45:13.566 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 917 ms
2025-09-07 18:45:14.336 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-09-07 18:45:14.348 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-09-07 18:45:14.353 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 2.041 seconds (process running for 2.64)
2025-09-07 18:45:19.855 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-09-07 18:45:19.855 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-09-07 18:45:19.856 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2025-09-07 18:45:19.905 [http-nio-8080-exec-1] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:45:19.905 [http-nio-8080-exec-5] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:45:19.910 [http-nio-8080-exec-1] INFO  com.itheima.controller.ClazzController-查询所有班级信息
2025-09-07 18:45:19.919 [http-nio-8080-exec-5] INFO  com.itheima.controller.StudentController-学生信息分页查询:StudentQueryParam(page=1, pageSize=10, name=, degree=null, clazzId=null)
2025-09-07 18:45:19.925 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-09-07 18:45:20.185 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@68a23178
2025-09-07 18:45:20.186 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-09-07 18:45:21.704 [http-nio-8080-exec-2] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:45:21.704 [http-nio-8080-exec-4] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:45:21.706 [http-nio-8080-exec-4] INFO  com.itheima.controller.EmpController-查询所有班主任
2025-09-07 18:45:21.714 [http-nio-8080-exec-2] INFO  com.itheima.controller.ClazzController-分页查询班级信息，参数：ClazzQueryParam(page=1, pageSize=10, name=, begin=null, end=null)
2025-09-07 18:45:22.433 [http-nio-8080-exec-6] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:45:22.434 [http-nio-8080-exec-6] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-09-07 18:45:23.056 [http-nio-8080-exec-3] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:45:23.056 [http-nio-8080-exec-7] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:45:23.056 [http-nio-8080-exec-7] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-09-07 18:45:23.059 [http-nio-8080-exec-3] INFO  com.itheima.controller.EmpController-分页请求参数：EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2025-09-07 18:45:25.910 [http-nio-8080-exec-8] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:45:25.910 [http-nio-8080-exec-9] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:45:25.910 [http-nio-8080-exec-9] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-09-07 18:45:25.910 [http-nio-8080-exec-8] INFO  com.itheima.controller.EmpController-分页请求参数：EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2025-09-07 18:45:27.525 [http-nio-8080-exec-10] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:45:27.525 [http-nio-8080-exec-1] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:45:27.526 [http-nio-8080-exec-1] INFO  com.itheima.controller.EmpController-查询所有班主任
2025-09-07 18:45:27.526 [http-nio-8080-exec-10] INFO  com.itheima.controller.ClazzController-分页查询班级信息，参数：ClazzQueryParam(page=1, pageSize=10, name=, begin=null, end=null)
2025-09-07 18:45:28.213 [http-nio-8080-exec-4] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:45:28.213 [http-nio-8080-exec-5] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:45:28.213 [http-nio-8080-exec-4] INFO  com.itheima.controller.ClazzController-查询所有班级信息
2025-09-07 18:45:28.213 [http-nio-8080-exec-5] INFO  com.itheima.controller.StudentController-学生信息分页查询:StudentQueryParam(page=1, pageSize=10, name=, degree=null, clazzId=null)
2025-09-07 18:45:33.723 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2025-09-07 18:45:33.732 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Graceful shutdown complete
2025-09-07 18:45:33.737 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2025-09-07 18:45:33.749 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
2025-09-07 18:46:52.691 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 21.0.2 with PID 14792 (E:\Project\BackEnd_learning\web-code\web-ai-project02\tlias-web-management\target\classes started by Dell in E:\Project\BackEnd_learning\web-code\web-ai-project02)
2025-09-07 18:46:52.693 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-09-07 18:46:53.357 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-09-07 18:46:53.367 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-09-07 18:46:53.368 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-09-07 18:46:53.368 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-09-07 18:46:53.401 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-09-07 18:46:53.403 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 687 ms
